,Tweets
3180,<|paddingtonbear|><|neutral|><|danbackler|><|borrow|>@danbackler I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3181,<|paddingtonbear|><|neutral|><|sueb|><|undefined|>@sueb76 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3182,<|paddingtonbear|><|neutral|><|ttparklane|><|undefined|>@ttparklane I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3183,"<|paddingtonbear|><|neutral|><|postcard|><|poster|>I wonder if I can get this poster as a postcard for Aunt Lucy. I think she'd like it, don't you? #Paddington2"
3184,<|paddingtonbear|><|neutral|><|delcourt|><|borrow|>@delcourt0609 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3185,<|paddingtonbear|><|neutral|><|garethdempster|><|undefined|>@garethdempster I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3186,<|paddingtonbear|><|neutral|><|lulamaybelle|><|undefined|>@Lulamaybelle I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3187,<|paddingtonbear|><|neutral|><|zoenash|><|borrow|>@ZoeNash4 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3188,<|paddingtonbear|><|neutral|><|suehart_uk|><|borrow|>@SueHart_UK I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3189,<|paddingtonbear|><|neutral|><|arohaamour|><|undefined|>@arohaamour I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3190,<|paddingtonbear|><|neutral|><|ciaranfarrell|><|undefined|>@Ciaranfarrell20 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3191,<|paddingtonbear|><|neutral|><|regular_assdude|><|undefined|>@Regular_AssDude I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3192,<|paddingtonbear|><|neutral|><|m_fong|><|borrow|>@m_fong92 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3193,<|paddingtonbear|><|neutral|><|meledgerwood|><|undefined|>@meledgerwood I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3194,<|paddingtonbear|><|neutral|><|amandashapter|><|borrow|>@AmandaShapter I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3195,<|paddingtonbear|><|neutral|><|innes|><|_mac|>@innes2_mac I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3196,<|paddingtonbear|><|neutral|><|signorinafia|><|undefined|>@SignorinaFia I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3197,<|paddingtonbear|><|neutral|><|rashleigh_janet|><|borrow|>@rashleigh_janet I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3198,<|paddingtonbear|><|neutral|><|castle_sue|><|undefined|>@castle_sue I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3199,<|paddingtonbear|><|neutral|><|karencurd|><|borrow|>@karencurd I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3200,<|paddingtonbear|><|neutral|><|charlie_eiiison|><|undefined|>@Charlie_EIIison I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3201,<|paddingtonbear|><|neutral|><|thetrueduckman|><|undefined|>@ThetrueDuckman I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3202,<|paddingtonbear|><|neutral|><|hilsellis|><|borrow|>@hilsellis I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3203,<|paddingtonbear|><|neutral|><|molten_berle|><|undefined|>@molten_berle I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3204,<|paddingtonbear|><|neutral|><|cameronmac|><|undefined|>@cameronmac64 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3205,<|paddingtonbear|><|neutral|><|nicolajaneburke|><|undefined|>@NicolaJaneBurke I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3206,<|paddingtonbear|><|neutral|><|leigh_bennett|><|borrow|>@Leigh_bennett I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3207,<|paddingtonbear|><|neutral|><|whatnoimnotjess|><|undefined|>@whatnoimnotjess I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3208,<|paddingtonbear|><|neutral|><|nancyp_rocks|><|borrow|>@nancyp_rocks I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3209,<|paddingtonbear|><|neutral|><|lfirth|><|undefined|>@LFirth888 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3210,<|paddingtonbear|><|neutral|><|jazzmindi|><|undefined|>@jazzmindi I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3211,<|paddingtonbear|><|neutral|><|pbasset|><|borrow|>@pbasset12 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3212,<|paddingtonbear|><|neutral|><|nathwatkins|><|undefined|>@NathWatkins22 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3213,<|paddingtonbear|><|neutral|><|lizzie|><|borrow|>@lizzie1708 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3214,<|paddingtonbear|><|neutral|><|anneterris|><|undefined|>@anneterris I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3215,<|paddingtonbear|><|neutral|><|bourbier|><|undefined|>@Bourbier I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3216,<|paddingtonbear|><|neutral|><|keirenkavanagh|><|undefined|>@keirenkavanagh I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3217,<|paddingtonbear|><|neutral|><|batstonejc|><|undefined|>@BatstoneJC I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3218,<|paddingtonbear|><|neutral|><|ashmcki|><|undefined|>@ashmcki7 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3219,<|paddingtonbear|><|neutral|><|groovy|><|undefined|>@groovy1956 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3220,<|paddingtonbear|><|neutral|><|janetbowd|><|undefined|>@JanetBowd I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3221,<|paddingtonbear|><|neutral|><|tumbledrier|><|undefined|>@tumbledrier148 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3222,<|paddingtonbear|><|neutral|><|theions|><|undefined|>@TheIons I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3223,<|paddingtonbear|><|neutral|><|leonidasbatman|><|undefined|>@LeonidasBatman I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3224,<|paddingtonbear|><|neutral|><|mooresoohie|><|undefined|>@MooreSoohie I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3225,<|paddingtonbear|><|neutral|><|jince|><|borrow|>@Jince2003 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3226,<|paddingtonbear|><|neutral|><|joeursell|><|undefined|>@joeursell I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3227,<|paddingtonbear|><|neutral|><|lauzer|><|undefined|>@Lauzer16 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3228,<|paddingtonbear|><|neutral|><|grant|><|undefined|>@grant60815552 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3229,<|paddingtonbear|><|neutral|><|tinytalksutlich|><|undefined|>@TinyTalkSutLich I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3230,<|paddingtonbear|><|neutral|><|larissaach|><|undefined|>@larissaach22 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3231,<|paddingtonbear|><|neutral|><|ericzavala_|><|undefined|>@ericzavala_ I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3232,<|paddingtonbear|><|neutral|><|londonbirdlucy|><|borrow|>@LondonBirdLucy I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3233,<|paddingtonbear|><|neutral|><|xchocolatesocks|><|undefined|>@xChocolateSocks I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3234,<|paddingtonbear|><|neutral|><|dwwatchesmovies|><|borrow|>@DWWatchesMovies I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3235,<|paddingtonbear|><|neutral|><|kerryecole|><|borrow|>@kerryecole I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3236,<|paddingtonbear|><|neutral|><|annieblack|><|borrow|>@AnnieBlack01 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3237,<|paddingtonbear|><|neutral|><|jemmalouisehart|><|undefined|>@jemmalouisehart I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3238,<|paddingtonbear|><|neutral|><|shellyh|><|undefined|>@shellyh2003 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3239,<|paddingtonbear|><|neutral|><|debbburns|><|borrow|>@debbburns I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3240,<|paddingtonbear|><|neutral|><|cbazenas|><|undefined|>@CBazenas I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3241,<|paddingtonbear|><|neutral|><|dry|><|sunshine|>I thought you'd like to know that my duffle coat is now dry. #sunshine
3242,<|paddingtonbear|><|neutral|><|joshuahardz|><|borrow|>@Joshuahardz001 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3243,<|paddingtonbear|><|neutral|><|lkajue|><|undefined|>@LKajue I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3244,<|paddingtonbear|><|neutral|><|vickytp|><|undefined|>@vickytp23 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3245,<|paddingtonbear|><|neutral|><|emmaruthuk|><|borrow|>@emmaruthuk I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3246,<|paddingtonbear|><|neutral|><|katiewilson|><|borrow|>@katiewilson48 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3247,<|paddingtonbear|><|neutral|><|adjetey|><|undefined|>@adjetey12 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3248,<|paddingtonbear|><|neutral|><|realaustinkokel|><|undefined|>@RealAustinKokel I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3249,<|paddingtonbear|><|neutral|><|dumpity|><|undefined|>@dumpity22 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3250,<|paddingtonbear|><|neutral|><|brannanandy|><|undefined|>@BrannanAndy I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3251,<|paddingtonbear|><|neutral|><|shaspi|><|undefined|>@shaspi I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3252,<|paddingtonbear|><|neutral|><|rd|><|undefined|>@2460rd1 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3253,<|paddingtonbear|><|neutral|><|deluxedaylord|><|borrow|>@deluxedaylord I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3254,<|paddingtonbear|><|neutral|><|hferguson|><|undefined|>@HFerguson24 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3255,<|paddingtonbear|><|neutral|><|kate_bradleyy_|><|undefined|>@kate_bradleyy_ I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3256,<|paddingtonbear|><|neutral|><|kiyoato|><|borrow|>@Kiyoato I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3257,<|paddingtonbear|><|neutral|><|madspmpkins|><|borrow|>@madspmpkins I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3258,<|paddingtonbear|><|neutral|><|sidizenkane|><|undefined|>@SidizenKane I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3259,<|paddingtonbear|><|neutral|><|matt_sutton|><|undefined|>@Matt_Sutton87 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3260,<|paddingtonbear|><|neutral|><|gracemuscroft|><|undefined|>@gracemuscroft01 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3261,<|paddingtonbear|><|neutral|><|sajuebon|><|undefined|>@SAjuebon I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3262,<|paddingtonbear|><|neutral|><|thenicecameron|><|undefined|>@TheNiceCameron I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3263,<|paddingtonbear|><|neutral|><|spencerjacobs|><|borrow|>@SpencerJacobs I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3264,<|paddingtonbear|><|neutral|><|neildmck|><|borrow|>@neildmck I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3265,<|paddingtonbear|><|neutral|><|yumi|><|borrow|>@Yumi75 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3266,<|paddingtonbear|><|neutral|><|airiahu|><|undefined|>@AiriaHU4L I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3267,<|paddingtonbear|><|neutral|><|tdogs|><|gr|>@gr8tdogs1st I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3268,<|paddingtonbear|><|neutral|><|alicialang|><|undefined|>@alicialang09 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3269,<|paddingtonbear|><|neutral|><|louby|><|undefined|>@Louby9137 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3270,<|paddingtonbear|><|neutral|><|soniamedit|><|undefined|>@soniamedit I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3271,<|paddingtonbear|><|neutral|><|edna|><|undefined|>@edna1979 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3272,<|paddingtonbear|><|neutral|><|nicky_oshea|><|borrow|>@nicky_oshea44 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3273,<|paddingtonbear|><|neutral|><|pollyvgrice|><|undefined|>@pollyvgrice I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3274,<|paddingtonbear|><|neutral|><|joannebulman|><|undefined|>@JoanneBulman I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3275,<|paddingtonbear|><|neutral|><|georgiathomasxx|><|borrow|>@GeorgiaThomasxx I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3276,<|paddingtonbear|><|neutral|><|jackwea|><|undefined|>@Jackwea60889520 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
3277,<|paddingtonbear|><|neutral|><|mohobbs|><|borrow|>@MoHobbs I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3278,<|paddingtonbear|><|neutral|><|chillarybuff|><|undefined|>@chillarybuff I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3279,<|paddingtonbear|><|neutral|><|lilliandavies|><|borrow|>@lilliandavies6 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
3280,<|paddingtonbear|><|neutral|><|gleamteam_pat|><|undefined|>@Gleamteam_pat1 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
3281,<|paddingtonbear|><|neutral|><|lmaldarella|><|undefined|>@lmaldarella I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3282,<|paddingtonbear|><|neutral|><|kate_murphy_|><|undefined|>@Kate_Murphy_ I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3283,<|paddingtonbear|><|neutral|><|rachel_mantell|><|undefined|>@Rachel_Mantell I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3284,<|paddingtonbear|><|neutral|><|janekitchendunn|><|undefined|>@janekitchendunn I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3285,<|paddingtonbear|><|neutral|><|floral_abi_|><|undefined|>@floral_abi_ I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3286,<|paddingtonbear|><|neutral|><|tiggsie|><|undefined|>@tiggsie I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3287,<|paddingtonbear|><|neutral|><|kathiii|><|undefined|>@Kathiii25_ I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3288,<|paddingtonbear|><|neutral|><|goodhopenot|><|undefined|>@GoodhopeNot I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3289,<|paddingtonbear|><|neutral|><|missemmacorke|><|undefined|>@missemmacorke I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3290,<|paddingtonbear|><|neutral|><|clarateddy|><|undefined|>@clarateddy I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3291,<|paddingtonbear|><|neutral|><|ixora_lester|><|undefined|>@ixora_lester I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3292,"<|paddingtonbear|><|neutral|><|ups|><|grown|>Marmalade sandwiches for me, shortbread for the grown ups and popcorn for Jonathan and Judy. I think we're ready. Are you? #Paddington"
3293,<|paddingtonbear|><|neutral|><|anngree|><|undefined|>@AnnGree54943604 I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3294,<|paddingtonbear|><|neutral|><|ianewebster|><|undefined|>@IanEWebster I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3295,<|paddingtonbear|><|neutral|><|annabella_daisy|><|undefined|>@annabella_daisy I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3296,<|paddingtonbear|><|neutral|><|colin|><|undefined|>@Colin569 I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3297,<|paddingtonbear|><|neutral|><|lhc|><|undefined|>@lhc17x I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3298,<|paddingtonbear|><|neutral|><|redchris|><|undefined|>@RedChris74 I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3299,<|paddingtonbear|><|neutral|><|jmmaitland|><|undefined|>@JmMaitland I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3300,<|paddingtonbear|><|neutral|><|ferrariiix|><|undefined|>@ferrariiix I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3301,<|paddingtonbear|><|neutral|><|hariborandc|><|undefined|>@hariborandc I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3302,<|paddingtonbear|><|neutral|><|findingdoiry|><|undefined|>@findingdoiry I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3303,<|paddingtonbear|><|neutral|><|malcolm_irvin|><|undefined|>@malcolm_irvin I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3304,<|paddingtonbear|><|neutral|><|carolinegeorgy|><|undefined|>@carolinegeorgy I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3305,<|paddingtonbear|><|neutral|><|kaatienicole_|><|undefined|>@kaatienicole_ I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3306,<|paddingtonbear|><|neutral|><|sueharlowuk|><|undefined|>@sueharlowuk I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3307,<|paddingtonbear|><|neutral|><|george|><|rachel|>@George2Rachel I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3308,<|paddingtonbear|><|neutral|><|rmeredith|><|undefined|>@RMeredith72 I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3309,<|paddingtonbear|><|neutral|><|zoequinton_|><|undefined|>@ZoeQuinton_ I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3310,<|paddingtonbear|><|neutral|><|bwaugh_|><|undefined|>@bwaugh_ I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3311,<|paddingtonbear|><|neutral|><|juliechurch|><|undefined|>@JulieChurch12 I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3312,<|paddingtonbear|><|neutral|><|piinkhs|><|undefined|>@piinkhs I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3313,<|paddingtonbear|><|neutral|><|emilyllll_|><|undefined|>@emilyllll_ I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3314,<|paddingtonbear|><|neutral|><|veryfunnydoofus|><|undefined|>@veryfunnydoofus I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3315,<|paddingtonbear|><|neutral|><|hughcampbellucd|><|undefined|>@hughcampbellucd I'm pleased we can help you to remember when #Paddington2 is released for you to watch at home. We all think Mr Curry will do a good job.
3316,"<|paddingtonbear|><|neutral|><|dc|><|undefined|>Hello @4DC5, if I told you it wouldn't be a secret anymore. #AskPaddington"
3317,"<|paddingtonbear|><|neutral|><|rosiepercy|><|undefined|>@rosiepercy Oh dear, I'm sorry to have worried you, however I can confirm that I'm fine and my hat is still firmly on my head. Also, I've just checked and my emergency marmalade sandwich is still underneath it."
3318,<|paddingtonbear|><|neutral|><|royblanchard|><|undefined|>@royblanchard I’m sorry I had no idea but I’m pleased to hear you still like me. Do you still like marmalade?
3319,"<|paddingtonbear|><|neutral|><|japan|><|undefined|>Hello @DJSKYFALL69, it's a bit late this year but perhaps I could visit Japan when my film comes out next February #AskPaddington"
3320,<|paddingtonbear|><|neutral|><|turns|><|teamsky|>.@letour I've taken some wrong turns in my time but even I know London isn't in France. @teamsky would you like to borrow my map?
3321,"<|paddingtonbear|><|neutral|><|whenever|><|tends|>@innocent I'm very sorry. Mrs Bird says that marmalade tends to disappear quite quickly whenever I'm around, especially when it's super."
3322,"<|paddingtonbear|><|neutral|><|buzz|><|mrsgifletcher|>@MrsGiFletcher I'm sorry to hear Buzz didn't enjoy the sandwiches. Mrs Bird says to me, I should try things ten times before I decide I don't like them."
